File,Line,Method,Endpoint,Full_URL
"src/app/(admin)/settings/tip-outs/page.tsx",264,GET,"/api/tip-out-rules/{id}","/api/tip-out-rules/${ruleId}"
"src/app/(admin)/settings/tips/page.tsx",107,GET,"/api/settings/tips","/api/settings/tips?locationId=${locationId}&employeeId=${employee?.id ?? "
"src/app/(admin)/settings/tips/page.tsx",130,GET,"/api/tips/group-templates","/api/tips/group-templates?locationId=${locationId}&includeInactive=true"
"src/app/(admin)/settings/tips/page.tsx",131,GET,"/api/roles","/api/roles?locationId=${locationId}"
"src/app/(admin)/settings/tips/page.tsx",280,GET,"/api/tips/group-templates/{id}","/api/tips/group-templates/${id}"
"src/app/(admin)/tax-rules/page.tsx",120,GET,"/api/tax-rules/{id}","/api/tax-rules/${rule.id}"
"src/app/(admin)/tax-rules/page.tsx",70,GET,"/api/menu","/api/menu?locationId=${employee.location.id}"
"src/app/(admin)/timed-rentals/page.tsx",186,GET,"/api/timed-sessions","/api/timed-sessions?locationId=${employee.location.id}"
"src/app/(admin)/timed-rentals/page.tsx",187,GET,"/api/menu","/api/menu?locationId=${employee.location.id}"
"src/app/(admin)/timed-rentals/page.tsx",237,GET,"/api/timed-sessions/{id}","/api/timed-sessions/${sessionId}"
"src/app/(admin)/tip-groups/page.tsx",96,GET,"/api/reports/tip-groups","/api/reports/tip-groups?${params.toString()}"
"src/app/(admin)/tips/payouts/page.tsx",116,GET,"/api/tips/payouts","/api/tips/payouts?${params.toString()}"
